Inlet TDS (g/kg),Flow (L/s),Recovery,CAPEX (kUSD/year),OPEX (kUSD/year),Status
192.953597,5.797248567,0.072326476,46.03883731,317.3354381,1
192.953597,5.797248567,0.110937441,72.53110121,513.4832431,1
192.953597,5.797248567,0.100751526,0,0,0
192.953597,5.797248567,0.09984652,64.76243402,454.425329,1
184.9393463,5.797248567,0.050403216,30.84337451,204.1213936,1
184.9393463,5.797248567,0.207906701,142.9469253,1065.417017,1
184.9393463,5.797248567,0.311309167,234.4762947,2007.107767,1
184.9393463,5.797248567,0.167535726,0,0,0
184.9393463,5.797248567,0.148120025,97.05456819,679.5328938,1
184.9393463,5.797248567,0.367179214,291.9149758,2741.894983,1
184.9393463,5.797248567,0.072326476,0,0,0
184.9393463,5.797248567,0.110937441,70.68132499,479.5023651,1
184.9393463,5.797248567,0.100751526,63.72062284,429.1399866,1
184.9393463,5.797248567,0.09984652,63.10743713,424.7504602,1
73.78656052,5.797248567,0.050403216,26.68067882,96.58608447,1
73.78656052,5.797248567,0.451654202,239.5752831,1044.998942,1
73.78656052,5.797248567,0.207906701,0,0,0
73.78656052,5.797248567,0.311309167,0,0,0
73.78656052,5.797248567,0.167535726,73.48547616,311.4788573,1
73.78656052,5.797248567,0.724717047,0,0,0
73.78656052,5.797248567,0.148120025,65.06608958,275.3267902,1
73.78656052,5.797248567,0.539620808,0,0,0
73.78656052,5.797248567,0.367179214,0,0,0
73.78656052,5.797248567,0.072326476,33.7679619,137.9098416,1
73.78656052,5.797248567,0.555949449,315.8287961,1602.868583,1
73.78656052,5.797248567,0.583388578,0,0,0
73.78656052,5.797248567,0.110937441,49.36658557,207.5003006,1
73.78656052,5.797248567,0.100751526,45.17067204,189.1362672,1
73.78656052,5.797248567,0.09984652,44.80033987,187.5069648,1
116.4798472,5.797248567,0.050403216,0,0,0
116.4798472,5.797248567,0.451654202,298.5491612,1901.508623,1
116.4798472,5.797248567,0.207906701,109.1876677,533.2572694,1
116.4798472,5.797248567,0.311309167,176.215294,945.8129231,1
116.4798472,5.797248567,0.167535726,87.09573131,414.8149985,1
116.4798472,5.797248567,0.148120025,76.63284288,361.5516084,1
116.4798472,5.797248567,0.539620808,401.3875434,2984.273742,1
116.4798472,5.797248567,0.367179214,0,0,0
116.4798472,5.797248567,0.072326476,36.86912078,174.2334166,1
116.4798472,5.797248567,0.555949449,423.5520933,3260.842422,1
116.4798472,5.797248567,0.583388578,0,0,0
116.4798472,5.797248567,0.110937441,56.90919928,265.751101,1
116.4798472,5.797248567,0.100751526,51.57914828,240.8519004,1
116.4798472,5.797248567,0.09984652,51.10709965,238.6664764,1
84.01009243,5.797248567,0.050403216,26.84403545,102.368151,1
84.01009243,5.797248567,0.451654202,245.4894441,1182.13516,1
84.01009243,5.797248567,0.207906701,0,0,0
84.01009243,5.797248567,0.311309167,0,0,0
84.01009243,5.797248567,0.167535726,75.33886105,326.1811661,1
84.01009243,5.797248567,0.148120025,0,0,0
84.01009243,5.797248567,0.539620808,324.7239149,1784.116636,1
84.01009243,5.797248567,0.367179214,192.611127,842.3396283,1
84.01009243,5.797248567,0.072326476,33.63181276,144.5539787,1
84.01009243,5.797248567,0.555949449,342.8682169,1934.518332,1
84.01009243,5.797248567,0.583388578,376.3793893,2227.821547,1
84.01009243,5.797248567,0.110937441,49.99500384,216.548621,1
84.01009243,5.797248567,0.100751526,45.59775838,197.4269117,1
84.01009243,5.797248567,0.09984652,45.20960954,195.7342383,1
126.6673467,5.797248567,0.050403216,0,0,0
126.6673467,5.797248567,0.451654202,314.887591,2177.068225,1
126.6673467,5.797248567,0.207906701,113.1673137,593.0670203,1
126.6673467,5.797248567,0.311309167,0,0,0
126.6673467,5.797248567,0.167535726,88.41068863,450.430183,1
126.6673467,5.797248567,0.148120025,77.41339863,388.6707795,1
126.6673467,5.797248567,0.539620808,422.5261311,3453.047513,1
126.6673467,5.797248567,0.367179214,232.2625014,1424.649958,1
126.6673467,5.797248567,0.072326476,0,0,0
126.6673467,5.797248567,0.555949449,445.6179794,3781.931809,1
126.6673467,5.797248567,0.110937441,57.58481656,285.4784409,1
126.6673467,5.797248567,0.100751526,52.21057115,258.5772367,1
126.6673467,5.797248567,0.09984652,51.73432084,256.2145786,1
140.7202048,5.797248567,0.050403216,26.93460546,144.2216954,1
140.7202048,5.797248567,0.451654202,336.0518623,2602.736521,1
140.7202048,5.797248567,0.207906701,0,0,0
140.7202048,5.797248567,0.311309167,198.7262134,1257.540369,1
140.7202048,5.797248567,0.167535726,94.08191717,521.9246349,1
140.7202048,5.797248567,0.148120025,81.99217698,449.163995,1
140.7202048,5.797248567,0.367179214,248.2325972,1684.960323,1
140.7202048,5.797248567,0.072326476,0,0,0
140.7202048,5.797248567,0.110937441,59.85212971,322.1331136,1
140.7202048,5.797248567,0.100751526,54.003218,289.8882788,1
140.7202048,5.797248567,0.09984652,0,0,0
162.8838591,5.797248567,0.050403216,0,0,0
162.8838591,5.797248567,0.451654202,0,0,0
162.8838591,5.797248567,0.207906701,0,0,0
162.8838591,5.797248567,0.311309167,0,0,0
162.8838591,5.797248567,0.167535726,103.1044134,648.3453331,1
162.8838591,5.797248567,0.148120025,89.76820748,555.8506336,1
162.8838591,5.797248567,0.367179214,271.4042698,2163.921958,1
162.8838591,5.797248567,0.072326476,41.51887163,248.2087532,1
162.8838591,5.797248567,0.110937441,0,0,0
