Inlet TDS (g/kg),Outlet TDS (g/kg),Flow (L/s),CAPEX (kUSD/year),OPEX (kUSD/year),Energy (kW/year),Recovery,Status
79.03455976,171.3284247,6.111642106,79.88465136,234.677978,167.6271271,0.538695579,1
79.03455976,230.9078064,6.111642106,96.2224935,319.8477994,228.4627138,0.657722443,1
79.03455976,152.2373017,6.111642106,71.72687221,203.9328034,145.6662881,0.480846291,1
79.03455976,88.17708915,6.111642106,67.06270515,187.8201194,134.1572281,0.103683729,1
79.03455976,93.04476354,6.111642106,67.06270515,187.8201194,134.1572281,0.150574877,1
79.03455976,242.2378273,6.111642106,98.12402744,335.0835305,239.3453789,0.673731553,1
45.29836243,63.52445686,6.111642106,85.34034968,229.8120813,164.1514866,0.286914605,1
45.29836243,98.19624606,6.111642106,85.34034968,229.8120813,164.1514866,0.538695579,1
45.29836243,132.3439459,6.111642106,85.34034968,229.8120813,164.1514866,0.657722443,1
45.29836243,87.25424025,6.111642106,85.34034968,229.8120813,164.1514866,0.480846291,1
45.29836243,50.53836897,6.111642106,85.34034968,229.8120813,164.1514866,0.103683729,1
45.29836243,53.32825834,6.111642106,85.34034968,229.8120813,164.1514866,0.150574877,1
45.29836243,138.837705,6.111642106,86.60560473,236.0143552,168.5816823,0.673731553,1
138.3445728,194.0084227,6.111642106,57.89189231,187.8644348,134.188882,0.286914605,1
138.3445728,299.8986494,6.111642106,98.21119128,371.2287542,265.1633959,0.538695579,1
166.8289472,233.9536727,6.111642106,61.32707269,212.2949106,151.6392219,0.286914605,1
40.46175289,56.74180563,6.111642106,86.92037444,233.6837308,166.9169506,0.286914605,1
40.46175289,87.71160877,6.111642106,86.92037444,233.6837308,166.9169506,0.538695579,1
40.46175289,118.2132808,6.111642106,86.92037444,233.6837308,166.9169506,0.657722443,1
40.46175289,77.9379059,6.111642106,86.92037444,233.6837308,166.9169506,0.480846291,1
40.46175289,45.14227198,6.111642106,86.92037444,233.6837308,166.9169506,0.103683729,1
40.46175289,47.6342785,6.111642106,86.92037444,233.6837308,166.9169506,0.150574877,1
40.46175289,124.0136864,6.111642106,86.92037444,233.6837308,166.9169506,0.673731553,1
40.46175289,285.8296073,6.111642106,91.72806109,398.7269928,284.8049949,0.858441002,1
